,preprocessing_without_emoticons,preprocessing_with_emoticons,class
22,"['cant', 'see', 'hoe', 'wont', 'change']","['cant', 'see', 'hoe', 'wont', 'change']",1
23,"['fuck', 'bitch', 'dont', 'even', 'suck', 'dick', 'laugh', 'laugh', 'laugh', 'kermit', 'video', 'bout', 'fuck', 'ig']","['fuck', 'bitch', 'dont', 'even', 'suck', 'dick', '😂', '😂', '😂', 'kermit', 'video', 'bout', 'fuck', 'IG']",1
24,"['got', 'ya', 'bitch', 'tip', 'toeing', 'hardwood', 'floor', 'laugh']","['got', 'ya', 'bitch', 'tip', 'toeing', 'hardwood', 'floor', '😂']",1
25,"['pussy', 'lip', 'like', 'heaven', 'door']","['pussy', 'lip', 'like', 'heaven', 'door', '😌']",1
26,"['hoe', 'hitting']","['hoe', 'hitting']",1
27,"['met', 'pussy', 'ocean', 'dr', 'gave', 'pussy', 'pill']","['met', 'pussy', 'ocean', 'dr', 'gave', 'pussy', 'pill', '😌']",1
28,"['need', 'trippy', 'bitch', 'fuck', 'hennessy']","['need', 'trippy', 'bitch', 'fuck', 'hennessy']",1
29,"['spend', 'money', 'want', 'bitch', 'business']","['spend', 'money', 'want', 'bitch', 'business']",1
30,"['txt', 'old', 'bitch', 'new', 'bitch', 'pussy', 'wetter']","['txt', 'old', 'bitch', 'new', 'bitch', 'pussy', 'wetter']",1
31,"['would', 'say', 'im', 'back', 'old', 'old', 'bitch', 'would', 'get', 'excited']","['would', 'say', 'im', 'back', 'old', 'old', 'bitch', 'would', 'get', 'excited', '😌']",1
32,"['aint', 'bout', 'murder', 'game', 'pussy', 'nigga', 'shut']","['aint', 'bout', 'murder', 'game', 'pussy', 'nigga', 'shut']",1
33,"['toe', 'aint', 'done', 'pussy', 'stink']","['toe', 'aint', 'done', 'pussy', 'stink']",1
34,"['im', 'done', 'bitter', 'bitch', 'wrap', 'angry', 'bird', 'there', 'app']","['im', 'done', 'bitter', 'bitch', 'wrap', 'angry', 'bird', 'there', 'app']",1
35,"['ya', 'bitch']","['ya', 'bitch']",1
36,"['aint', 'nothing', 'cut', 'bitch']","['aint', 'nothing', 'cut', 'bitch']",1
37,"['jus', 'meet', 'son', 'ya', 'mane', 'as', 'bitch']","['jus', 'meet', 'son', 'ya', 'mane', 'as', 'bitch']",1
38,"['lame', 'cry', 'hoe', 'thats', 'tear', 'clown']","['lame', 'cry', 'hoe', 'thats', 'tear', 'clown']",1
39,"['like', 'snoop', 'said', 'dont', 'love', 'hoe']","['like', 'snoop', 'said', 'dont', 'love', 'hoe']",1
40,"['momma', 'said', 'pussy', 'cat', 'inside', 'doghouse']","['momma', 'said', 'pussy', 'cat', 'inside', 'doghouse']",2
41,"['hated', 'hoe', 'favorite']","['hated', 'hoe', 'favorite']",1
42,"['nice', 'girl', 'bad', 'make', 'get', 'naughty', 'bad', 'yello', 'hoe', 'real', 'nice', 'body', 'south', 'chick', 'like', 'em', 'real', 'thick']","['nice', 'girl', 'bad', 'make', 'get', 'naughty', 'bad', 'yello', 'hoe', 'real', 'nice', 'body', 'south', 'chick', 'like', 'em', 'real', 'thick']",1
43,"['pimp', 'pimp', 'hoe', 'future', 'voice']","['pimp', 'pimp', 'hoe', 'future', 'voice']",1
44,"['post', 'picture', 'pussy', 'get', 'like']","['post', 'picture', 'pussy', 'get', 'like']",1
45,"['pussy', 'powerful', 'drug']","['pussy', 'powerful', 'drug', '😅']",1
46,"['quick', 'piece', 'pussy', 'call', 'drive']","['quick', 'piece', 'pussy', 'call', 'drive']",1
47,"['running', 'round', 'like', 'brand', 'new', 'pussy', 'thats', 'bout', 'get', 'fucked']","['running', 'round', 'like', 'brand', 'new', 'pussy', 'thats', 'bout', 'get', 'fucked']",1
48,"['bitch', 'even', 'worst', 'send', 'guy']","['bitch', 'even', 'worst', 'send', 'guy']",1
49,"['hoe', 'like', 'nigga', 'spend', 'money', 'talk', 'bout']","['hoe', 'like', 'nigga', 'spend', 'money', 'talk', 'bout']",1
50,"['dont', 'trust', 'nigga', 'bitch']","['dont', 'trust', 'nigga', 'bitch']",1
51,"['yall', 'nigga', 'b', 'cuffing', 'hoe', 'cause', 'yall', 'aint', 'never', 'bitch']","['yall', 'nigga', 'b', 'cuffing', 'hoe', 'cause', 'yall', 'aint', 'never', 'bitch']",1
52,"['dodge', 'bullet', 'da', 'bitch', 'cut', 'pregnant', 'bound', 'thank', 'god']","['dodge', 'bullet', '😅', 'da', 'bitch', 'cut', 'pregnant', 'bound', 'thank', 'god', '🙏']",1
53,"['young', 'pill', 'chamberlain', 'bitch', 'love', 'music']","['young', 'pill', 'chamberlain', 'bitch', 'love', 'music']",1
54,"['laugh', 'laugh', 'laugh', 'teanna', 'trump', 'probably', 'cleaner', 'twitter', 'hoe']","['😂', '😂', '😂', 'teanna', 'trump', 'probably', 'cleaner', 'twitter', 'hoe']",1
55,"['laugh', 'laugh', 'laugh', 'gay', 'nigga', 'could', 'wait', 'act', 'like', 'bitch', 'tonight']","['😂', '😂', '😂', 'gay', 'nigga', 'could', 'wait', 'act', 'like', 'bitch', 'tonight']",1
56,"['laugh', 'laugh', 'laugh', 'ima', 'steal', 'cat', 'n', 'replace', 'pitbull', 'laugh', 'laugh', 'laugh', 'bitch']","['😂', '😂', '😂', 'ima', 'steal', 'cat', 'n', 'replace', 'pitbull', '😂', '😂', '😂', 'bitch']",1
57,"['gone', 'always', 'hoe']","['gone', 'always', 'hoe']",1
58,"['son', 'bitch', 'took', 'tic', 'tacs', 'like', 'movie']","['son', 'bitch', 'took', 'tic', 'tacs', 'like', 'movie']",1
59,"['wanna', 'get', 'money', 'fuck', 'model', 'bitch', 'russell', 'simmons']","['wanna', 'get', 'money', 'fuck', 'model', 'bitch', '!', 'russell', 'simmons']",1
60,"['probably', 'mind', 'school', 'much', 'deal', 'bitch', 'as', 'teacher', 'retweet']","['probably', 'mind', 'school', 'much', 'deal', 'bitch', 'as', 'teacher', 'retweet']",1
61,"['fucking', 'fag', 'said']","['fucking', 'fag', 'said']",1
62,"['female', 'think', 'dating', 'pussy', 'cute', 'stuff', 'make', 'pussy']","['female', 'think', 'dating', 'pussy', 'cute', 'stuff', 'make', 'pussy']",1
63,"['simplyaddictedtoguys', 'woof', 'woof', 'hot', 'scally', 'lad']","['simplyaddictedtoguys', 'woof', 'woof', 'hot', 'scally', 'lad']",2
64,"['ya', 'ever', 'asked', 'bitch', 'bitch', 'kanye', 'voice', 'yes']","['ya', 'ever', 'asked', 'bitch', 'bitch', 'kanye', 'voice', 'yes']",1
65,"['u', 'gone', 'bring', 'ur', 'side', 'bitch', 'game', 'know', 'ya', 'gf', 'friend', 'swear']","['u', 'gone', 'bring', 'ur', 'side', 'bitch', 'game', 'know', 'ya', 'gf', 'friend', '!', '😩', '😩', '😩', 'SWEAR', '!', '!', '!']",1
66,"['woof', 'woof', 'hot', 'sol']","['woof', 'woof', 'hot', 'sol']",2
67,"['lemmie', 'eat', 'oreo', 'dish', 'one', 'oreo', 'lol']","['lemmie', 'eat', 'oreo', 'dish', 'one', 'oreo', 'lol']",2
68,"['bitch', 'fuck', 'u', 'maybe', 'get', 'better']","['bitch', 'fuck', 'u', 'maybe', 'get', 'better']",1
69,"['fuck', 'red', 'malone', 'man', 'bitch', 'as', 'niggah', 'could', 'please', 'use', 'complete', 'sentence']","['fuck', 'red', 'malone', 'man', 'bitch', 'as', 'niggah', 'could', 'please', 'use', 'complete', 'sentence']",1
70,"['eggplant', 'emoji', 'doe', 'say', 'looked', 'like', 'scream', 'lmao']","['eggplant', 'emoji', 'doe', 'say', 'looked', 'like', 'scream', 'lmao']",2
71,"['hennessey', 'venom', 'gt', 'one', 'sexy', 'bitch']","['hennessey', 'venom', 'GT', '🙈', 'one', 'sexy', 'bitch']",1
72,"['seh', 'pussy', 'wetter', 'shower', 'curtain', 'lmao']","['seh', 'pussy', 'wetter', 'shower', 'curtain', 'lmao', '!', '!']",1
73,"['every', 'need', 'see', 'pic', 'posted', 'bitch', 'said', 'racist', 'shit']","['every', 'need', 'see', 'pic', 'posted', 'bitch', 'said', 'racist', 'shit']",1
74,"['yo', 'fuck', 'skateboarding', 'wood', 'pushing', 'faggot', 'man', 'ball', 'life']","['yo', 'fuck', 'skateboarding', 'wood', 'pushing', 'faggot', 'man', 'ball', 'life']",1
75,"['baby', 'monkey', 'bathtime', 'awwwe', 'sooo', 'adorable']","['baby', 'monkey', 'bathtime', 'awwwe', '!', 'sooo', 'ADORABLE', '!']",2
76,"['laugh', 'laugh', 'laugh', 'aint', 'shit', 'damn', 'skippy', 'lol']","['😂', '😂', '😂', 'aint', 'shit', 'damn', 'skippy', 'lol']",1
77,"['u', 'ever', 'kill', 'ant', 'sidewalk', 'think', 'damn', 'nigga', 'way', 'get', 'pussy', 'b', 'must', 'b', 'chance']","['u', 'ever', 'kill', 'ant', 'sidewalk', 'think', 'damn', 'nigga', 'way', 'get', 'pussy', 'b', 'must', 'b', 'chance']",1
78,"['ring', 'mvp', 'bitch', 'lol']","['ring', 'mvp', 'bitch', 'lol']",1
79,"['ppl', 'talk', 'bad', 'ghetto', 'hood', 'kid', 'growing', 'nigga', 'funnn']","['ppl', 'talk', 'bad', 'ghetto', 'hood', 'kid', 'growing', 'nigga', 'funnn', '!']",1
80,"['fact', 'tattoo', 'tattoo', 'pussy', 'tattooing', 'nipple']","['fact', 'tattoo', 'tattoo', 'pussy', 'tattooing', 'nipple']",1
81,"['bitch', 'wanting', 'act', 'like', 'nigga', 'bad', 'shit', 'aint', 'cuteee', 'nigga', 'act', 'like', 'bitch']","['💯', '💯', '💯', 'bitch', 'wanting', 'act', 'like', 'nigga', 'bad', '😩', '😩', '😩', 'shit', 'aint', 'cuteee', 'nigga', 'act', 'like', 'bitch']",1
82,"['get', 'worshiping', 'bitch', 'woof', 'woof']","['get', 'worshiping', 'bitch', '!', 'woof', 'woof']",1
83,"['wow', 'lost', 'buttcheek', 'piercings', 'yeah', 'hoe']","['wow', 'lost', 'buttcheek', 'piercings', 'yeah', 'hoe']",1
84,"['ok', 'si', 'would', 'rather', 'broke', 'bitch', 'shrug', 'tell', 'work']","['ok', 'si', 'would', 'rather', 'broke', 'bitch', 'shrug', 'tell', 'work']",1
85,"['queer', 'gaywad']","['queer', 'gaywad']",0
86,"['faggot', 'read', 'tweet', 'dat', 'k', 'even', 'funny', 'lol']","['faggot', 'read', 'tweet', 'dat', 'k', 'even', 'funny', 'lol']",1
87,"['bitch', 'ungrateful', 'fr', 'lulwhore']","['bitch', 'ungrateful', 'fr', 'LULWHORE']",1
88,"['kidnapped', 'yo', 'bitch']","['kidnapped', 'yo', 'bitch']",1
89,"['alsarabsss', 'he', 'beaner', 'smh', 'tell', 'he', 'mexican']","['alsarabsss', 'he', 'beaner', 'smh', 'tell', 'he', 'mexican']",0
90,"['happy', 'birthday', 'nigs', 'thanks', 'yo']","['happy', 'birthday', 'nigs', 'thanks', 'yo']",1
91,"['ur', 'teacher', 'tell', 'u', 'u', 'homework', 'bitch', 'need', 'go']","['ur', 'teacher', 'tell', 'u', 'u', 'homework', 'bitch', 'need', 'go', '!', '!', '!']",1
92,"['nigga', 'eating', 'hoe', 'lol', 'hell', 'yea', 'lol', 'john', 'paul', 'nigga', 'said', 'john', 'paul']","['nigga', 'eating', 'hoe', 'lol', 'hell', 'yea', 'lol', 'john', 'paul', 'nigga', 'said', 'john', 'paul']",1
93,"['would', 'lil', 'ugly', 'bald', 'headed', 'bitch', 'stop', 'making', 'makeup', 'weave']","['would', 'lil', 'ugly', 'bald', 'headed', 'bitch', 'stop', 'making', 'makeup', 'weave']",1
94,"['leaf', 'better', 'win', 'damn', 'game', 'go', 'riot', 'shit', 'better', 'start', 'looting', 'nig']","['leaf', 'better', 'win', 'damn', 'game', 'go', 'riot', 'shit', 'better', 'start', 'looting', 'nig']",1
95,"['going', 'back', 'school', 'suck', 'dick', 'hoe', 'attend']","['going', 'back', 'school', 'suck', 'dick', 'hoe', 'attend']",1
96,"['way', 'fuck', 'yo', 'bitch', 'year', 'old']","['way', 'fuck', 'yo', 'bitch', 'year', 'old']",1
97,"['come', 'never', 'bring', 'food', 'dont', 'car', 'retard']","['come', 'never', 'bring', 'food', 'dont', 'car', 'retard']",1
98,"['richnow', 'show', 'hella', 'tinder', 'hoe', 'im', 'friend', 'anymore', 'chill', 'brought', 'like', 'like', 'prople']","['richnow', 'show', 'hella', 'tinder', 'hoe', 'im', 'friend', 'anymore', 'chill', 'brought', 'like', 'like', 'prople']",1
99,"['bout', 'cowboy', 'shutup', 'pussy']","['bout', 'cowboy', '!', '!', '!', 'shutup', 'pussy']",1
100,"['lmaooo', 'nigga', 'bitch', 'want', 'like', 'depressing', 'shit', 'foh']","['LMAOOO', 'nigga', 'bitch', 'want', 'like', 'depressing', 'shit', 'foh']",1
101,"['girl', 'know', 'spitting', 'g', 'shit', 'going', 'lbvs', 'bitch', 'plz']","['girl', 'know', 'spitting', 'g', 'shit', 'going', 'lbvs', 'bitch', 'plz']",1
102,"['let', 'make', 'couple', 'tweet', 'cuzzo', 'page', 'get', 'twitter', 'jail', 'lmao', 'bitch', 'trick']","['let', 'make', 'couple', 'tweet', 'cuzzo', 'page', 'get', 'twitter', 'jail', 'lmao', 'bitch', 'trick']",1
103,"['harlem', 'shake', 'excuse', 'go', 'full', 'retard', 'second']","['harlem', 'shake', 'excuse', 'go', 'full', 'retard', 'second']",1
104,"['amen', 'miley', 'need', 'act', 'like', 'hoe', 'bc', 'emotionally', 'damaged', 'foh']","['amen', 'miley', '🙏', 'need', 'act', 'like', 'hoe', 'bc', 'emotionally', 'damaged', 'foh']",1
105,"['one', 'loyal', 'female', 'wayyy', 'better', 'hoe', 'idc']","['one', 'loyal', 'female', 'wayyy', 'better', 'hoe', 'idc', '💯']",1
106,"['pussy', 'licking', 'pussy', 'meow', 'meow', 'confused']","['pussy', 'licking', 'pussy', 'meow', 'meow', '🐱', '😕']",1
107,"['check', 'th', 'man', 'even', 'faggot', 'ny', 'fan', 'stand']","['check', 'th', 'man', 'even', 'faggot', 'ny', 'fan', 'stand']",1
108,"['happen', 'vixen', 'ent', 'bitch', 'got', 'ran', 'threw', 'side', 'like', 'foothill', 'bitch']","['happen', 'vixen', 'ent', 'bitch', 'got', 'ran', 'threw', 'side', 'like', 'foothill', 'bitch']",1
109,"['im', 'bitch', 'okay', 'nude', 'pat', 'sleepy', 'wow']","['im', 'bitch', 'okay', 'nude', 'pat', '😪', '😏', '🐸', 'wow']",1
110,"['fucking', 'gay', 'blacklisted', 'hoe', 'holding', 'anyway']","['fucking', 'gay', 'blacklisted', 'hoe', 'holding', 'anyway']",0
111,"['fuck', 'wrong', 'bitch', 'nobody', 'know']","['fuck', 'wrong', 'bitch', 'nobody', 'know']",1
112,"['yall', 'shut', 'make', 'bitch']","['yall', 'shut', 'make', 'bitch']",1
113,"['hate', 'pregnant', 'type', 'bitch']","['hate', 'pregnant', 'type', 'bitch']",1
114,"['got', 'bitch', 'dm', 'ever', 'readem', 'top']","['got', 'bitch', 'DM', 'ever', 'readem', 'top']",1
115,"['baseball', 'season', 'win', 'love', 'started']","['baseball', 'season', 'win', 'love', 'started']",2
116,"['little', 'stupid', 'bitch', 'fuck', 'yooouuu']","['little', 'stupid', 'bitch', 'fuck', 'yooouuu']",1
117,"['really', 'asked', 'dead', 'as', 'serious', 'tho', 'could', 'say', 'bitch', 'wheet', 'lol']","['really', 'asked', 'dead', 'as', 'serious', 'tho', 'could', 'say', 'bitch', 'wheet', 'LOL']",1
118,"['early', 'bird', 'night', 'owl', 'wise', 'worm']","['early', 'bird', 'night', 'owl', 'wise', 'worm']",2
119,"['overdosing', 'heavy', 'drug', 'sound', 'bad', 'tonight', 'pussy', 'shit', 'every', 'day']","['overdosing', 'heavy', 'drug', 'sound', 'bad', 'tonight', 'pussy', 'shit', 'every', 'day']",2
120,"['pit', 'bull', 'photographed', 'lovely', 'fairy', 'tale', 'creature', 'fairy', 'tale', 'creature']","['pit', 'bull', 'photographed', 'lovely', 'fairy', 'tale', 'creature', 'fairy', 'tale', 'creature']",2
121,"['aw', 'fag', 'tweet', 'aw', 'lol']","['aw', 'fag', 'tweet', 'aw', 'lol']",1
122,"['long', 'lakers', 'trash', 'could', 'careless', 'real', 'cc', 'hahaha']","['long', 'lakers', 'trash', 'could', 'careless', 'real', 'CC', 'hahaha']",2
123,"['say', 'anything', 'tho', 'kiss', 'faggot']","['say', 'anything', 'tho', 'kiss', 'faggot']",1
124,"['play', 'soccer', 'cheat', 'girl', 'wear', 'khaki', 'coloured', 'cargo', 'haircut', 'laugh', 'yup']","['play', 'soccer', 'cheat', 'girl', 'wear', 'khaki', 'coloured', 'cargo', 'haircut', '😂', 'yup']",2
125,"['could', 'go', 'fat', 'as', 'bitch', 'lap']","['could', 'go', 'fat', 'as', 'bitch', 'lap']",1
126,"['missed', 'call', 'angry', 'angry', 'da', 'yo', 'p', 'bitch', 'twitter', 'finna', 'screamn']","['missed', 'call', '!', '!', '!', '😠', '😡', 'da', 'yo', 'p', 'bitch', 'twitter', 'finna', 'screamn']",1
127,"['ya', 'side', 'bitch', 'gotta', 'know', 'rule', 'shit', 'anybody', 'ask', 'cousin', 'jersey', 'thinkin', 'bout', 'moving', 'lmmfao', 'laugh', 'laugh', 'laugh']","['ya', 'side', 'bitch', 'gotta', 'know', 'rule', 'shit', 'anybody', 'ask', 'cousin', 'jersey', 'thinkin', 'bout', 'moving', 'lmmfao', '😂', '😂', '😂']",1
128,"['amo', 'los', 'pie', 'fuck', 'yeah']","['amo', 'los', 'pie', 'fuck', 'yeah']",1
129,"['hoe', 'thinking', 'meat', 'slap', 'as', 'sleepy', 'ainna', 'bruh']","['hoe', 'thinking', 'meat', 'slap', 'as', '😴', '👋', 'ainna', 'bruh']",1
130,"['yall', 'bitch', 'wit', 'edge', 'talking', 'sleepy', 'laugh', 'laugh', 'laugh']","['yall', 'bitch', 'wit', 'edge', 'talking', '😩', '😴', '😂', '😂', '😂']",1
131,"['yall', 'still', 'going', 'trick', 'treating', 'year', 'nah', 'hell', 'yeah', 'ima', 'da', 'sweet', 'tooth', 'bandit', 'steal', 'bitch', 'bag', 'n', 'shit']","['yall', 'still', 'going', 'trick', 'treating', 'year', 'nah', 'hell', 'yeah', 'ima', 'da', 'sweet', 'tooth', 'bandit', 'steal', 'bitch', 'bag', 'n', 'shit']",1
132,"['wanna', 'sex', 'mom', 'fuck', 'right', 'pussy', 'came', 'damn', 'got', 'hacked', 'like', 'fuck']","['wanna', 'sex', 'mom', 'fuck', 'right', 'pussy', 'came', 'damn', 'got', 'hacked', 'like', 'fuck']",1
133,"['kiss', 'u', 'eye', 'open', 'watch', 'bitch', 'lmfao']","['kiss', 'u', 'eye', 'open', 'watch', 'bitch', '!', 'lmfao']",1
134,"['woulda', 'coulda', 'shoulda', 'as', 'hoe', 'flushed']","['woulda', 'coulda', 'shoulda', 'as', 'hoe', '😳', '🙊']",1
135,"['happy', 'bday', 'bitch', 'as', 'nigga', 'preciate', 'bitch', 'roll']","['happy', 'bday', 'bitch', 'as', 'nigga', 'preciate', 'bitch', 'roll', '!']",1
136,"['used', 'send', 'bitch']","['used', 'send', 'bitch']",1
137,"['ugly', 'bitch', 'like', 'wcw', 'duh', 'bitch', 'aint', 'nobody', 'el', 'laugh', 'laugh']","['ugly', 'bitch', 'like', 'WCW', 'duh', 'bitch', 'aint', 'nobody', 'el', '😂', '😂']",1
138,"['nigga', 'know', 'hacky', 'sack', 'hoe', 'nah', 'throw', 'look', 'pass', 'lmao']","['nigga', 'know', 'hacky', 'sack', 'hoe', 'nah', 'throw', 'look', 'pass', 'lmao']",1
139,"['glad', 'getting', 'outta', 'atlanta', 'nothing', 'bunch', 'nigga', 'outta', 'jail', 'dumb', 'bitch', 'mad', 'kid', 'fuckin', 'em']","['glad', 'getting', 'outta', 'atlanta', 'nothing', 'bunch', 'nigga', 'outta', 'jail', 'dumb', 'bitch', 'mad', 'kid', 'fuckin', 'em']",1
140,"['ghetto', 'smart', 'idc']","['ghetto', 'smart', 'idc']",2
141,"['would', 'wife', 'hoe', 'cuz', 'would', 'care', 'cheating', 'force', 'relationship', 'first', 'place']","['would', 'wife', 'hoe', 'cuz', 'would', 'care', 'cheating', 'force', 'relationship', 'first', 'place']",1
142,"['single', 'excuse', 'hoe']","['single', 'excuse', 'hoe']",1
143,"['white', 'boy', 'power', 'bitch', 'black', 'power', 'bitch']","['white', 'boy', 'power', 'bitch', 'black', 'power', 'bitch']",1
144,"['let', 'get', 'drunk', 'get', 'blowed', 'spit', 'shit', 'spark', 'blunts', 'fuck', 'hoe', 'bro', 'white', 'dude', 'chill']","['let', 'get', 'drunk', 'get', 'blowed', 'spit', 'shit', 'spark', 'blunts', 'fuck', 'hoe', '!', 'bro', 'white', 'dude', 'chill']",1
145,"['bitch', 'u', 'around', 'world', 'back']","['bitch', 'u', 'around', 'world', 'back']",1
146,"['get', 'dick', 'sucked', 'yo', 'party', 'bad', 'bitch', 'fr', 'gone', 'set', 'laugh', 'laugh', 'laugh']","['get', 'dick', 'sucked', 'yo', 'party', 'bad', 'bitch', 'fr', 'gone', 'set', '😂', '😂', '😂']",1
147,"['sooo', 'cute', 'probably', 'hoe', 'lot']","['sooo', 'cute', 'probably', 'hoe', 'lot']",1
148,"['every', 'cartoon', 'alway', 'saving', 'hoe', 'lmao', 'lmao', 'damn', 'captain', 'saveahoe']","['every', 'cartoon', 'alway', 'saving', 'hoe', 'lmao', 'lmao', 'damn', 'captain', 'saveahoe']",1
149,"['want', 'get', 'nose', 'bad', 'bois', 'hot', 'sox', 'leg']","['want', 'get', 'nose', 'bad', 'bois', 'hot', 'sox', 'leg']",2
150,"['wish', 'bitch', 'like', 'brother', 'keezy', 'unamused', 'ooow', 'bet']","['wish', 'bitch', 'like', 'brother', 'keezy', '😒', 'ooow', 'bet']",1
151,"['dressed', 'cat', 'halloween', 'basic', 'pussy']","['dressed', 'cat', 'halloween', 'basic', 'pussy']",1
152,"['pornhub', 'get', 'gaming', 'stream', 'feature', 'dumb', 'bitch', 'gtfo', 'get', 'katie', '3']","['pornhub', 'get', 'gaming', 'stream', 'feature', 'dumb', 'bitch', 'gtfo', 'get', 'katie', '3']",1
153,"['stop', 'scared', 'choke', 'sex', 'u', 'bitch', 'as', 'nigga', 'like', 'say', 'guy', 'hit', 'woman', 'bed', 'foh']","['stop', 'scared', 'choke', 'sex', 'u', 'bitch', 'as', 'nigga', 'like', 'say', 'guy', 'hit', 'woman', 'bed', 'FOH']",1
154,"['ha', 'well', 'iguess', 'make', 'hoe', 'loyal', 'bro', 'theyll', 'never', 'loyal', 'hoe', 'nig']","['ha', 'well', 'iguess', 'make', 'hoe', 'loyal', 'bro', 'theyll', 'never', 'loyal', 'hoe', 'nig']",1
155,"['oh', 'man', 'molly', 'ho', 'fuck', 'ya', 'seed']","['oh', 'man', 'molly', 'ho', 'fuck', 'ya', 'seed']",1
156,"['man', 'refer', 'every', 'girl', 'bitch']","['man', 'refer', 'every', 'girl', 'bitch']",1
157,"['lmfao', 'cat', 'started', 'beating', 'shit', 'nigga', 'finally', 'got', 'pussy', 'nigga']","['lmfao', 'cat', 'started', 'beating', 'shit', 'nigga', 'finally', 'got', 'pussy', '!', 'MY', 'NIGGA', '!', '!', '!']",1
158,"['peel', 'peel', 'bring', 'back', 'rewind', 'back', 'move', 'shaq', 'line', 'ooow', 'tf', 'said', 'trash']","['peel', 'peel', 'bring', 'back', 'rewind', 'back', 'move', 'shaq', 'line', 'ooow', 'tf', 'said', 'trash', '!', '!']",2
159,"['io', 'io', 'alu', 'record', 'ho', 'vine', 'sai', 'pe', 'hahahaha', 'lol', 'anywaaays', 'haha']","['io', 'io', 'alu', 'record', 'ho', 'vine', 'sai', 'pe', 'hahahaha', 'lol', 'anywaaays', 'haha']",1
160,"['naw', 'old', 'tape', 'new', 'cover', 'upcoming', 'mixtape', 'yeah', 'waiting', 'hoe', 'mayne']","['naw', 'old', 'tape', 'new', 'cover', 'upcoming', 'mixtape', 'yeah', 'waiting', 'hoe', 'mayne', '!']",1
161,"['ol', 'dirty', 'foot', 'as', 'bitch', 'funny']","['ol', 'dirty', 'foot', 'as', 'bitch', 'funny']",1
162,"['get', 'yellow', 'flag', 'amazing', 'hell', 'yeah', 'niggy']","['get', 'yellow', 'flag', 'amazing', '👏', '😌', 'HELL', 'YEAH', 'NIGGY']",1
163,"['got', 'time', 'bitch', 'actin', 'iffy']","['got', 'time', 'bitch', 'actin', 'iffy']",1
164,"['come', 'stay', 'alive', 'knight', 'nation', 'still', 'early', 'bird', 'special']","['come', 'stay', 'alive', 'knight', 'nation', '!', '!', '!', 'still', 'early', 'bird', 'special']",2
