,preprocessing_without_emoticons,preprocessing_with_emoticons,class
30,"['txt', 'old', 'bitch', 'new', 'bitch', 'pussy', 'letter']","['txt', 'old', 'bitch', 'new', 'bitch', 'pussy', 'letter']",1
31,"['would', 'say', 'back', 'old', 'old', 'bitch', 'would', 'get', 'excited']","['would', 'say', 'back', 'old', 'old', 'bitch', 'would', 'get', 'excited', '😌']",1
32,"['aunt', 'bout', 'murder', 'game', 'pussy', 'nigga', 'shut']","['aunt', 'bout', 'murder', 'game', 'pussy', 'nigga', 'shut']",1
33,"['toe', 'aunt', 'done', 'pussy', 'stick']","['toe', 'aunt', 'done', 'pussy', 'stick']",1
34,"['done', 'bitter', 'bitch', 'wrap', 'angry', 'bird', 'pp']","['done', 'bitter', 'bitch', 'wrap', 'angry', 'bird', 'pp']",1
35,['bitch'],['bitch'],1
36,"['aunt', 'nothing', 'cut', 'bitch']","['aunt', 'nothing', 'cut', 'bitch']",1
37,"['meet', 'son', 'mane', 'as', 'bitch']","['meet', 'son', 'mane', 'as', 'bitch']",1
38,"['james', 'cry', 'hoe', 'tear', 'clown']","['james', 'cry', 'hoe', 'tear', 'clown']",1
39,"['like', 'stoop', 'said', 'dont', 'love', 'hoe']","['like', 'stoop', 'said', 'dont', 'love', 'hoe']",1
40,"['mamma', 'said', 'pussy', 'cat', 'inside', 'hothouse']","['mamma', 'said', 'pussy', 'cat', 'inside', 'hothouse']",2
41,"['hated', 'hoe', 'favorite']","['hated', 'hoe', 'favorite']",1
42,"['nice', 'girl', 'bad', 'make', 'get', 'naughty', 'bad', 'yellow', 'real', 'nice', 'body', 'south', 'thick', 'like', 'em', 'real', 'thick']","['nice', 'girl', 'bad', 'make', 'get', 'naughty', 'bad', 'yellow', 'real', 'nice', 'body', 'south', 'thick', 'like', 'em', 'real', 'thick']",1
43,"['pip', 'pip', 'hoe', 'future', 'voice']","['pip', 'pip', 'hoe', 'future', 'voice']",1
44,"['post', 'picture', 'pussy', 'get', 'like']","['post', 'picture', 'pussy', 'get', 'like']",1
45,"['pussy', 'powerful', 'drug']","['pussy', 'powerful', 'drug', '😅']",1
46,"['quick', 'piece', 'pussy', 'call', 'drive']","['quick', 'piece', 'pussy', 'call', 'drive']",1
47,"['running', 'round', 'like', 'brand', 'new', 'pussy', 'bout', 'get', 'tucked']","['running', 'round', 'like', 'brand', 'new', 'pussy', 'bout', 'get', 'tucked']",1
48,"['bitch', 'even', 'worst', 'send', 'gun']","['bitch', 'even', 'worst', 'send', 'gun']",1
49,"['hoe', 'like', 'night', 'spend', 'money', 'talk', 'bout']","['hoe', 'like', 'night', 'spend', 'money', 'talk', 'bout']",1
50,"['dont', 'trust', 'night', 'bitch']","['dont', 'trust', 'night', 'bitch']",1
51,"['night', 'b', 'puffing', 'hoe', 'cause', 'aunt', 'never', 'bitch']","['night', 'b', 'puffing', 'hoe', 'cause', 'aunt', 'never', 'bitch']",1
52,"['dodge', 'bullet', 'da', 'bitch', 'cut', 'pregnant', 'bound', 'thank', 'god']","['dodge', 'bullet', '😅', 'da', 'bitch', 'cut', 'pregnant', 'bound', 'thank', 'god', '🙏']",1
53,"['young', 'pill', 'chamberlain', 'bitch', 'love', 'music']","['young', 'pill', 'chamberlain', 'bitch', 'love', 'music']",1
54,"['laugh', 'laugh', 'laugh', 'anna', 'tramp', 'probably', 'cleaner', 'twitter', 'hoe']","['😂', '😂', '😂', 'anna', 'tramp', 'probably', 'cleaner', 'twitter', 'hoe']",1
55,"['laugh', 'laugh', 'laugh', 'gay', 'night', 'could', 'wait', 'act', 'like', 'bitch', 'tonight']","['😂', '😂', '😂', 'gay', 'night', 'could', 'wait', 'act', 'like', 'bitch', 'tonight']",1
56,"['laugh', 'laugh', 'laugh', 'steal', 'cat', 'n', 'replace', 'pitbull', 'laugh', 'laugh', 'laugh', 'bitch']","['😂', '😂', '😂', 'steal', 'cat', 'n', 'replace', 'pitbull', '😂', '😂', '😂', 'bitch']",1
57,"['gone', 'always']","['gone', 'always']",1
58,"['son', 'bitch', 'took', 'tic', 'tact', 'like', 'movie']","['son', 'bitch', 'took', 'tic', 'tact', 'like', 'movie']",1
59,"['anna', 'get', 'money', 'fuck', 'model', 'bitch', 'russell', 'summons']","['anna', 'get', 'money', 'fuck', 'model', 'bitch', '!', 'russell', 'summons']",1
60,"['probably', 'mind', 'school', 'much', 'deal', 'bitch', 'as', 'teacher']","['probably', 'mind', 'school', 'much', 'deal', 'bitch', 'as', 'teacher']",1
61,"['fucking', 'fag', 'said']","['fucking', 'fag', 'said']",1
62,"['female', 'think', 'dating', 'pussy', 'cut', 'stuff', 'make', 'pussy']","['female', 'think', 'dating', 'pussy', 'cut', 'stuff', 'make', 'pussy']",1
63,"['simplyaddictedtoguys', 'woof', 'woof', 'hot', 'scaly', 'lad']","['simplyaddictedtoguys', 'woof', 'woof', 'hot', 'scaly', 'lad']",2
64,"['ever', 'asked', 'bitch', 'bitch', 'voice', 'yes']","['ever', 'asked', 'bitch', 'bitch', 'voice', 'yes']",1
65,"['u', 'gone', 'bring', 'side', 'bitch', 'game', 'know', 'friend', 'swear']","['u', 'gone', 'bring', 'side', 'bitch', 'game', 'know', 'friend', '!', '😩', '😩', '😩', 'SWEAR', '!', '!', '!']",1
66,"['woof', 'woof', 'hot', 'sol']","['woof', 'woof', 'hot', 'sol']",2
67,"['femme', 'eat', 'orel', 'dish', 'one', 'orel']","['femme', 'eat', 'orel', 'dish', 'one', 'orel']",2
68,"['bitch', 'fuck', 'u', 'maybe', 'get', 'better']","['bitch', 'fuck', 'u', 'maybe', 'get', 'better']",1
69,"['fuck', 'red', 'alone', 'man', 'bitch', 'as', 'nigh', 'could', 'please', 'use', 'complete', 'sentence']","['fuck', 'red', 'alone', 'man', 'bitch', 'as', 'nigh', 'could', 'please', 'use', 'complete', 'sentence']",1
70,"['eggplant', 'embolus', 'doe', 'say', 'looked', 'like', 'scream', 'may']","['eggplant', 'embolus', 'doe', 'say', 'looked', 'like', 'scream', 'may']",2
71,"['tennessee', 'venom', 'one', 'sexy', 'bitch']","['tennessee', 'venom', '🙈', 'one', 'sexy', 'bitch']",1
72,"['pussy', 'letter', 'shower', 'curtain', 'may']","['pussy', 'letter', 'shower', 'curtain', 'may', '!', '!']",1
73,"['every', 'need', 'see', 'pick', 'posted', 'bitch', 'said', 'racism', 'shit']","['every', 'need', 'see', 'pick', 'posted', 'bitch', 'said', 'racism', 'shit']",1
74,"['fuck', 'skateboarding', 'wood', 'pushing', 'maggoty', 'man', 'ball', 'life']","['fuck', 'skateboarding', 'wood', 'pushing', 'maggoty', 'man', 'ball', 'life']",1
75,"['baby', 'monkey', 'bathtime', 'aware', 'soon', 'adorable']","['baby', 'monkey', 'bathtime', 'aware', '!', 'soon', 'ADORABLE', '!']",2
76,"['laugh', 'laugh', 'laugh', 'aunt', 'shit', 'damn', 'skipper']","['😂', '😂', '😂', 'aunt', 'shit', 'damn', 'skipper']",1
77,"['u', 'ever', 'kill', 'ant', 'sidewalk', 'think', 'damn', 'nigga', 'way', 'get', 'pussy', 'must', 'b', 'chance']","['u', 'ever', 'kill', 'ant', 'sidewalk', 'think', 'damn', 'nigga', 'way', 'get', 'pussy', 'must', 'b', 'chance']",1
78,"['ring', 'map', 'bitch']","['ring', 'map', 'bitch']",1
79,"['pp', 'talk', 'bad', 'ghent', 'hood', 'kid', 'growing', 'nigga', 'funny']","['pp', 'talk', 'bad', 'ghent', 'hood', 'kid', 'growing', 'nigga', 'funny', '!']",1
80,"['fact', 'tattoo', 'tattoo', 'pussy', 'tattooing', 'nipple']","['fact', 'tattoo', 'tattoo', 'pussy', 'tattooing', 'nipple']",1
81,"['bitch', 'wanting', 'act', 'like', 'night', 'bad', 'shit', 'aunt', 'cutler', 'night', 'act', 'like', 'bitch']","['💯', '💯', '💯', 'bitch', 'wanting', 'act', 'like', 'night', 'bad', '😩', '😩', '😩', 'shit', 'aunt', 'cutler', 'night', 'act', 'like', 'bitch']",1
82,"['get', 'worshiping', 'bitch', 'woof', 'woof']","['get', 'worshiping', 'bitch', '!', 'woof', 'woof']",1
83,"['lost', 'buttcheek', 'piercing', 'yeah']","['lost', 'buttcheek', 'piercing', 'yeah']",1
84,"['ok', 'would', 'rather', 'broke', 'bitch', 'shrug', 'tell', 'work']","['ok', 'would', 'rather', 'broke', 'bitch', 'shrug', 'tell', 'work']",1
85,"['queer', 'wayward']","['queer', 'wayward']",0
86,"['faggot', 'read', 'sweet', 'dat', 'k', 'even', 'funny']","['faggot', 'read', 'sweet', 'dat', 'k', 'even', 'funny']",1
87,"['bitch', 'ungrateful', 'fr', 'lulwhore']","['bitch', 'ungrateful', 'fr', 'LULWHORE']",1
88,"['kidnapped', 'bitch']","['kidnapped', 'bitch']",1
89,"['alsarabsss', 'beaner', 'tell', 'mexican']","['alsarabsss', 'beaner', 'tell', 'mexican']",0
90,"['happy', 'birthday', 'fig', 'thanks']","['happy', 'birthday', 'fig', 'thanks']",1
91,"['teacher', 'tell', 'u', 'u', 'homework', 'bitch', 'need', 'go']","['teacher', 'tell', 'u', 'u', 'homework', 'bitch', 'need', 'go', '!', '!', '!']",1
92,"['nigga', 'eating', 'hell', 'yea', 'john', 'paul', 'nigga', 'said', 'john', 'paul']","['nigga', 'eating', 'hell', 'yea', 'john', 'paul', 'nigga', 'said', 'john', 'paul']",1
93,"['would', 'ugly', 'bald', 'headed', 'bitch', 'stop', 'making', 'make', 'weave']","['would', 'ugly', 'bald', 'headed', 'bitch', 'stop', 'making', 'make', 'weave']",1
94,"['lead', 'better', 'win', 'damn', 'game', 'go', 'riot', 'shit', 'better', 'start', 'looting', 'fig']","['lead', 'better', 'win', 'damn', 'game', 'go', 'riot', 'shit', 'better', 'start', 'looting', 'fig']",1
95,"['going', 'back', 'school', 'suck', 'dick', 'hoe', 'attend']","['going', 'back', 'school', 'suck', 'dick', 'hoe', 'attend']",1
96,"['way', 'fuck', 'bitch', 'year', 'old']","['way', 'fuck', 'bitch', 'year', 'old']",1
97,"['come', 'never', 'bring', 'food', 'dont', 'car', 'retard']","['come', 'never', 'bring', 'food', 'dont', 'car', 'retard']",1
98,"['richnow', 'show', 'hell', 'tinder', 'hoe', 'friend', 'anymore', 'chill', 'brought', 'like', 'like', 'people']","['richnow', 'show', 'hell', 'tinder', 'hoe', 'friend', 'anymore', 'chill', 'brought', 'like', 'like', 'people']",1
99,"['bout', 'cowboy', 'shut', 'pussy']","['bout', 'cowboy', '!', '!', '!', 'shut', 'pussy']",1
100,"['lmaooo', 'nigga', 'bitch', 'want', 'like', 'depressing', 'shit', 'foh']","['LMAOOO', 'nigga', 'bitch', 'want', 'like', 'depressing', 'shit', 'foh']",1
101,"['girl', 'know', 'spitting', 'g', 'shit', 'going', 'love', 'bitch', 'ply']","['girl', 'know', 'spitting', 'g', 'shit', 'going', 'love', 'bitch', 'ply']",1
102,"['let', 'make', 'couple', 'sweet', 'buzz', 'page', 'get', 'twitter', 'jail', 'may', 'bitch', 'trick']","['let', 'make', 'couple', 'sweet', 'buzz', 'page', 'get', 'twitter', 'jail', 'may', 'bitch', 'trick']",1
103,"['harlem', 'shake', 'excuse', 'go', 'full', 'retard', 'second']","['harlem', 'shake', 'excuse', 'go', 'full', 'retard', 'second']",1
104,"['amen', 'mile', 'need', 'act', 'like', 'bc', 'emotional', 'damaged', 'foh']","['amen', 'mile', '🙏', 'need', 'act', 'like', 'bc', 'emotional', 'damaged', 'foh']",1
105,"['one', 'loyal', 'female', 'way', 'better', 'hoe', 'ida']","['one', 'loyal', 'female', 'way', 'better', 'hoe', 'ida', '💯']",1
106,"['pussy', 'licking', 'pussy', 'confused']","['pussy', 'licking', 'pussy', '🐱', '😕']",1
107,"['check', 'th', 'man', 'even', 'faggot', 'ny', 'fan', 'stand']","['check', 'th', 'man', 'even', 'faggot', 'ny', 'fan', 'stand']",1
108,"['happen', 'given', 'went', 'bitch', 'got', 'ran', 'threw', 'side', 'like', 'football', 'bitch']","['happen', 'given', 'went', 'bitch', 'got', 'ran', 'threw', 'side', 'like', 'football', 'bitch']",1
109,"['bitch', 'okay', 'node', 'pat', 'sleepy']","['bitch', 'okay', 'node', 'pat', '😪', '😏', '🐸']",1
110,"['fucking', 'gay', 'blacklisted', 'holding', 'anyway']","['fucking', 'gay', 'blacklisted', 'holding', 'anyway']",0
111,"['fuck', 'wrong', 'bitch', 'nobody', 'know']","['fuck', 'wrong', 'bitch', 'nobody', 'know']",1
112,"['shut', 'make', 'bitch']","['shut', 'make', 'bitch']",1
113,"['hate', 'pregnant', 'type', 'bitch']","['hate', 'pregnant', 'type', 'bitch']",1
114,"['got', 'bitch', 'ever', 'reader', 'top']","['got', 'bitch', 'ever', 'reader', 'top']",1
115,"['baseball', 'season', 'win', 'love', 'started']","['baseball', 'season', 'win', 'love', 'started']",2
116,"['little', 'stupid', 'bitch', 'fuck', 'yooouuu']","['little', 'stupid', 'bitch', 'fuck', 'yooouuu']",1
117,"['really', 'asked', 'dead', 'as', 'serious', 'could', 'say', 'bitch', 'wheat']","['really', 'asked', 'dead', 'as', 'serious', 'could', 'say', 'bitch', 'wheat', 'LOL']",1
118,"['early', 'bird', 'night', 'owl', 'wise', 'worm']","['early', 'bird', 'night', 'owl', 'wise', 'worm']",2
119,"['overcoming', 'heavy', 'drug', 'sound', 'bad', 'tonight', 'pussy', 'shit', 'every', 'day']","['overcoming', 'heavy', 'drug', 'sound', 'bad', 'tonight', 'pussy', 'shit', 'every', 'day']",2
120,"['pit', 'ball', 'photographer', 'lovely', 'fairy', 'tale', 'creature', 'fairy', 'tale', 'creature']","['pit', 'ball', 'photographer', 'lovely', 'fairy', 'tale', 'creature', 'fairy', 'tale', 'creature']",2
121,"['fag', 'sweet']","['fag', 'sweet']",1
122,"['long', 'layer', 'trash', 'could', 'careless', 'real', 'c', 'havana']","['long', 'layer', 'trash', 'could', 'careless', 'real', 'havana']",2
123,"['say', 'anything', 'kiss', 'faggot']","['say', 'anything', 'kiss', 'faggot']",1
124,"['play', 'soccer', 'cheat', 'girl', 'wear', 'shake', 'coloured', 'cargo', 'haircut', 'laugh']","['play', 'soccer', 'cheat', 'girl', 'wear', 'shake', 'coloured', 'cargo', 'haircut', '😂']",2
125,"['could', 'go', 'fat', 'as', 'bitch', 'lap']","['could', 'go', 'fat', 'as', 'bitch', 'lap']",1
126,"['missed', 'call', 'angry', 'angry', 'da', 'p', 'bitch', 'twitter', 'finn', 'scream']","['missed', 'call', '!', '!', '!', '😠', '😡', 'da', 'p', 'bitch', 'twitter', 'finn', 'scream']",1
127,"['side', 'bitch', 'gutta', 'know', 'rule', 'shit', 'anybody', 'ask', 'cousin', 'jersey', 'thinking', 'bout', 'moving', 'lmmfao', 'laugh', 'laugh', 'laugh']","['side', 'bitch', 'gutta', 'know', 'rule', 'shit', 'anybody', 'ask', 'cousin', 'jersey', 'thinking', 'bout', 'moving', 'lmmfao', '😂', '😂', '😂']",1
128,"['los', 'pie', 'fuck', 'yeah']","['los', 'pie', 'fuck', 'yeah']",1
129,"['hoe', 'thinking', 'meat', 'slap', 'as', 'sleepy', 'anna', 'brush']","['hoe', 'thinking', 'meat', 'slap', 'as', '😴', '👋', 'anna', 'brush']",1
130,"['bitch', 'wit', 'edge', 'talking', 'sleepy', 'laugh', 'laugh', 'laugh']","['bitch', 'wit', 'edge', 'talking', '😩', '😴', '😂', '😂', '😂']",1
131,"['still', 'going', 'trick', 'treating', 'year', 'ah', 'hell', 'yeah', 'da', 'sweet', 'tooth', 'bandit', 'steal', 'bitch', 'bag', 'n', 'shit']","['still', 'going', 'trick', 'treating', 'year', 'ah', 'hell', 'yeah', 'da', 'sweet', 'tooth', 'bandit', 'steal', 'bitch', 'bag', 'n', 'shit']",1
132,"['anna', 'sex', 'mon', 'fuck', 'right', 'pussy', 'came', 'damn', 'got', 'hacked', 'like', 'fuck']","['anna', 'sex', 'mon', 'fuck', 'right', 'pussy', 'came', 'damn', 'got', 'hacked', 'like', 'fuck']",1
133,"['kiss', 'u', 'eye', 'open', 'watch', 'bitch', 'lafa']","['kiss', 'u', 'eye', 'open', 'watch', 'bitch', '!', 'lafa']",1
134,"['would', 'could', 'as', 'flushed']","['would', 'could', 'as', '😳', '🙊']",1
135,"['happy', 'day', 'bitch', 'as', 'nigga', 'precise', 'bitch', 'roll']","['happy', 'day', 'bitch', 'as', 'nigga', 'precise', 'bitch', 'roll', '!']",1
136,"['used', 'send', 'bitch']","['used', 'send', 'bitch']",1
137,"['ugly', 'bitch', 'like', 'www', 'due', 'bitch', 'aunt', 'nobody', 'else', 'laugh', 'laugh']","['ugly', 'bitch', 'like', 'WCW', 'due', 'bitch', 'aunt', 'nobody', 'else', '😂', '😂']",1
138,"['nigga', 'know', 'hack', 'sack', 'hoe', 'ah', 'throw', 'look', 'pass', 'may']","['nigga', 'know', 'hack', 'sack', 'hoe', 'ah', 'throw', 'look', 'pass', 'may']",1
139,"['glad', 'getting', 'gutta', 'atlanta', 'nothing', 'bunch', 'night', 'gutta', 'jail', 'dumb', 'bitch', 'mad', 'kiss', 'fuckin', 'em']","['glad', 'getting', 'gutta', 'atlanta', 'nothing', 'bunch', 'night', 'gutta', 'jail', 'dumb', 'bitch', 'mad', 'kiss', 'fuckin', 'em']",1
140,"['ghent', 'smart', 'ida']","['ghent', 'smart', 'ida']",2
141,"['would', 'wife', 'cut', 'would', 'care', 'cheating', 'force', 'relationship', 'first', 'place']","['would', 'wife', 'cut', 'would', 'care', 'cheating', 'force', 'relationship', 'first', 'place']",1
142,"['single', 'excuse']","['single', 'excuse']",1
143,"['white', 'boy', 'power', 'bitch', 'black', 'power', 'bitch']","['white', 'boy', 'power', 'bitch', 'black', 'power', 'bitch']",1
144,"['let', 'get', 'drunk', 'get', 'bowed', 'spit', 'shit', 'spark', 'blunt', 'fuck', 'hoe', 'brow', 'white', 'duke', 'chill']","['let', 'get', 'drunk', 'get', 'bowed', 'spit', 'shit', 'spark', 'blunt', 'fuck', 'hoe', '!', 'brow', 'white', 'duke', 'chill']",1
145,"['bitch', 'u', 'around', 'world', 'back']","['bitch', 'u', 'around', 'world', 'back']",1
146,"['get', 'dick', 'sucked', 'party', 'bad', 'bitch', 'fr', 'gone', 'set', 'laugh', 'laugh', 'laugh']","['get', 'dick', 'sucked', 'party', 'bad', 'bitch', 'fr', 'gone', 'set', '😂', '😂', '😂']",1
147,"['soon', 'cut', 'probably', 'hoe', 'lot']","['soon', 'cut', 'probably', 'hoe', 'lot']",1
148,"['every', 'cartoon', 'away', 'saving', 'hoe', 'may', 'may', 'damn', 'captain', 'saveahoe']","['every', 'cartoon', 'away', 'saving', 'hoe', 'may', 'may', 'damn', 'captain', 'saveahoe']",1
149,"['want', 'get', 'nose', 'bad', 'boris', 'hot', 'leg']","['want', 'get', 'nose', 'bad', 'boris', 'hot', 'leg']",2
150,"['wish', 'bitch', 'like', 'brother', 'keep', 'amused', 'oooh', 'bet']","['wish', 'bitch', 'like', 'brother', 'keep', '😒', 'oooh', 'bet']",1
151,"['dressed', 'cat', 'halloween', 'basic', 'pussy']","['dressed', 'cat', 'halloween', 'basic', 'pussy']",1
152,"['pornhub', 'get', 'gazing', 'stream', 'feature', 'dumb', 'bitch', 'get', 'katie', '3']","['pornhub', 'get', 'gazing', 'stream', 'feature', 'dumb', 'bitch', 'get', 'katie', '3']",1
153,"['stop', 'scared', 'choke', 'sex', 'u', 'bitch', 'as', 'night', 'like', 'say', 'guy', 'hit', 'woman', 'bed', 'foh']","['stop', 'scared', 'choke', 'sex', 'u', 'bitch', 'as', 'night', 'like', 'say', 'guy', 'hit', 'woman', 'bed', 'FOH']",1
154,"['ha', 'well', 'guess', 'make', 'hoe', 'loyal', 'brow', 'never', 'loyal', 'hoe', 'fig']","['ha', 'well', 'guess', 'make', 'hoe', 'loyal', 'brow', 'never', 'loyal', 'hoe', 'fig']",1
155,"['oh', 'man', 'folly', 'ho', 'fuck', 'seed']","['oh', 'man', 'folly', 'ho', 'fuck', 'seed']",1
156,"['man', 'refer', 'every', 'girl', 'bitch']","['man', 'refer', 'every', 'girl', 'bitch']",1
157,"['lafa', 'cat', 'started', 'beating', 'shit', 'nigga', 'finally', 'got', 'pussy', 'nigga']","['lafa', 'cat', 'started', 'beating', 'shit', 'nigga', 'finally', 'got', 'pussy', '!', 'NIGGA', '!', '!', '!']",1
158,"['feel', 'feel', 'bring', 'back', 'remind', 'back', 'move', 'line', 'oooh', 'said', 'trash']","['feel', 'feel', 'bring', 'back', 'remind', 'back', 'move', 'line', 'oooh', 'said', 'trash', '!', '!']",2
159,"['record', 'ho', 'vine', 'said', 'pe', 'ahahah', 'anywaaays', 'hata']","['record', 'ho', 'vine', 'said', 'pe', 'ahahah', 'anywaaays', 'hata']",1
160,"['old', 'tape', 'new', 'cover', 'coming', 'mistake', 'yeah', 'waiting', 'maine']","['old', 'tape', 'new', 'cover', 'coming', 'mistake', 'yeah', 'waiting', 'maine', '!']",1
161,"['dirty', 'foot', 'as', 'bitch', 'funny']","['dirty', 'foot', 'as', 'bitch', 'funny']",1
162,"['get', 'yellow', 'flag', 'amazing', 'hell', 'yeah', 'night']","['get', 'yellow', 'flag', 'amazing', '👏', '😌', 'HELL', 'YEAH', 'NIGGY']",1
163,"['got', 'time', 'bitch', 'action']","['got', 'time', 'bitch', 'action']",1
164,"['come', 'stay', 'alive', 'knight', 'nation', 'still', 'early', 'bird', 'special']","['come', 'stay', 'alive', 'knight', 'nation', '!', '!', '!', 'still', 'early', 'bird', 'special']",2
165,"['hoe', 'aunt', 'loyal', 'aunt', 'wonder', 'nobody', 'decent', 'want']","['hoe', 'aunt', 'loyal', 'aunt', 'wonder', 'nobody', 'decent', 'want']",1
166,"['brush', 'study', 'keep', 'thinking', 'soft', 'hell', 'ask', 'girl', 'many', 'time', 'screamed', 'bitch', 'oh', 'okay', 'soft', 'bye']","['brush', 'study', 'keep', 'thinking', 'soft', 'hell', 'ask', 'girl', 'many', 'time', 'screamed', 'bitch', 'oh', 'okay', 'STFU', 'BYE', 'HOE', '!']",1
167,"['dry', 'pussy', 'bitch', 'always', 'blame', 'london', 'laugh', 'laugh', 'laugh']","['dry', 'pussy', 'bitch', 'always', 'blame', 'london', '😂', '👏', '😂', '👏', '😂']",1
168,"['shut', 'bitch', 'as', 'sad', 'laugh']","['shut', 'bitch', 'as', '!', '😭', '😂']",1
169,"['cocci', 'mane', 'jail', 'dropping', 'mistake', 'every', 'month', 'hoe', 'even', 'text', 'back']","['cocci', 'mane', 'jail', 'dropping', 'mistake', 'every', 'month', 'hoe', 'even', 'text', 'back']",1
170,"['love', 'hoe', 'money', 'wrong', 'night']","['love', 'hoe', 'money', 'wrong', 'night']",1
171,"['loyal', 'bitch', 'burn', 'without', 'daddy', 'issue', 'like', 'finding', 'photographic', 'mewtwo', 'sounding', 'like']","['loyal', 'bitch', 'burn', 'without', 'daddy', 'issue', 'like', 'finding', 'photographic', 'mewtwo', 'sounding', 'like']",1
172,"['easy', 'cum', 'easy', 'fact']","['easy', 'cum', 'easy', 'fact', '!']",1
173,"['charlie', 'sheen', 'real', 'major', 'fucking', 'respect', 'charlie', 'sheen']","['charlie', 'sheen', 'real', 'major', 'fucking', 'respect', 'charlie', 'sheen']",1
174,"['wish', 'confused', 'got', 'hoe']","['wish', '😕', 'got', 'hoe']",1
175,"['fuck', 'working', 'bitch', 'cook']","['fuck', 'working', 'bitch', 'cook']",1
176,"['bitch', 'utf']","['bitch', 'utf']",1
177,"['shut', 'toe', 'fight', 'pussy', 'toe', 'good', 'man', 'good', 'madam', 'move', 'along']","['shut', 'toe', 'fight', 'pussy', 'toe', 'good', 'man', 'good', 'madam', 'move', 'along']",1
178,"['may', 'fucking', 'snake', 'bitch', 'em']","['may', 'fucking', 'snake', 'bitch', 'em']",1
179,"['big', 'booty', 'hoe', 'everywhere', 'speech', 'damn']","['big', 'booty', 'hoe', 'everywhere', 'speech', '😍', 'damn', '🌿', '👀', '🌿']",1
